model,map_model_name
ALTO - JAPAN,ALTO
ALTO,ALTO
ALTO - INDIAN,ALTO LXI
800C,MARUTI
SWIFT,SWIFT
ZEN,ZEN
MARUTI 800,MARUTI
WAGON R,WAGON R
ESCUDO,VITARA
ESTILO,ESTILO
A-STAR,A-STAR
EVERY,EVERY
OMINI,MARUTI
JOINT,EVERY
WAGON R,WAGON R
ALTO LXI SPORTZ,ALTO
A-STAR VXI,MARUTI
ALTO K10,ALTO
SUZUKI A-STAR,A-STAR
A- STAR,A-STAR
SWIFT VXI,SWIFT
ZEN ESTILO,ESTILO
800,MARUTI
SWIFT INDIAN,SWIFT
ALTO K10 VXI,ALTO K10
MARUTI VAN,MARUTI
SPORTZ,SWIFT
OMINI 800,MARUTI
SPECIAL EDITION ALTO LXI,ALTO LXI
ALTO LXI 800CC,ALTO LXI
MARUTI ALTO LXI,ALTO LXI
ZEN-ESTILO VXI,ESTILO
ALTO K10-VXI,ALTO K10
SB308-IN,MARUTI
HE21S,ALTO
SWIFT ZXI,SWIFT
IGNIS 1.3A,MARUTI
LA HA23S,ALTO
WAGON R VXI,WAGON R
ALTO - K10,ALTO K10
LA-HT51S,SWIFT
SUZUKI OMNI,MARUTI
DBA ZC71S,SWIFT
SWIFT DZIRE VXI,SWIFT
ESTEEM VXI,MARUTI
EVERY EBD-DA64V,EVERY
MARUTI 410,MARUTI
EVERY GD-DA52V,EVERY
ZENVXI,MARUTI
DBA-HA25S,ALTO
ALTO VXI,ALTO
WAGON VXI,WAGON R
LIANA,LIANA
RITZ VXI,MARUTI
MARUTI 800 ULTIMATE,MARUTI
SUZUKI SWIFT,SWIFT
ZEN ESTILO,ESTILO
UA-HT51S,SWIFT
LE-DA62V,EVERY
GYPSY S/T,MARUTI
DBA-HA24S ALTO,ALTO
GRAND VITARA,GRAND VITARA
SJ41-IN,JIMNY
LA-HA238,ALTO
SWIFT DZIRE ZXI,SWIFT
DBA-ZC11S,SWIFT
SWIFT,SWIFT
EBD -DA64V,EVERY
A - STAR- 2XI,A STAR
CBA-HA 24 S,ALTO
SB305R,ALTO
EVERY LE-DA62V,EVERY
ALTO LXI,ALTO LXI
SB308,ALTO
ALTO LXI-800,ALTO LXI
SWIFT 1.5 VVT,SWIFT
AERIO,LIANA
SWIFT VXI SUZUKI,SWIFT
EVERY TE-DA62V,EVERY
CULTUS,CULTUS
ALTO DELUXE,ALTO DELUXE
800AC,MARUTI
BLAENO,BELENO
800CC,MARUTI
A STAR VXI,A STAR
VITARA,VITARA
A-STAR-ZXI,A-STAR
MARUTI A-STAR VXI,A STAR
SB308-IN,MARUTI
ALTO 800CC,ALTO
ALTO INDIAN,ALTO LXI
LA-MA64S,WAGON R
ZEN ESTILO VXI,ESTILO
VITARA JEEP,VITARA
UA HT51S SWIFT,SWIFT
HA23S,ALTO
VDE51V,EVERY
ALTO 800 LXI,ALTO
EVERY EDB-DA64V,EVERY
ALTO SPORT 800CC,ALTO
CELERIO VXI AMT,CELERIO VXI
CD-DB52V,EVERY
CELERIO VXI AT,CELERIO VXI
HBD-HA25V,ALTO
CELERIO VXI,CELERIO VXI
V-DE51V-EVERY,EVERY
WAGON R STINGRAY,WAGON R STINGRAY
SPORTZ PLUS,SWIFT
CELERIO LXI,CELERIO VXI
CELERIO,CELERIO VXI
UA-MA34S,WAGON R
DBA-SC71S,SWIFT
CELERIO ZXI M/T,CELERIO VXI
EVERY HBD-DA64V,EVERY
ALTO SPORT PLUS,ALTO
ALTO VXI,ALTO
GBD-HA24V,ALTO
MARUTI ERTIGA ZXI,MARUTI
HBD-DA64V,EVERY
DBA-ZC71S,SWIFT
DAA-MH44S,WAGON R
ALTO LXI 800 SPORT PLUS,ALTO LXI
MARUTI SWIFT VXI,SWIFT
LA-MA34S,WAGON R
DAA-MH44S-WAGON R,WAGON R
CELERIO ZXI,CELERIO 
JIMMY,JIMNY
CELERIO LXI MT,CELERIO
ALTO GL,ALTO
ALTO K10 VXI MT,ALTO K10
WAGON R J-STYLE,WAGON R
CORSA,WAGON R
GD-DB52V ARARI,EVERY
DAA-MK42S,SPACIA
WAGON R HYBRID,WAGON R
HUSTLER,HUSTLER
ALTO K10 VXI AMT,ALTO K10
ALTO K10 VXI AMT,ALTO K10
DAA-MH44SS-WAGON R FZ HYBRID,WAGON R FZ
HBD-DA17V,EVERY
ABA-HA23S,ALTO
DAA-MH41S HUSTLER,HUSTLER
DZIRE VXI 1200CCM,MARUTI
DAA-MR41S HUSTLER X,HUSTLER
UDA52V,EVERY
DBA-HA36S,ALTO
CRESENT,CULTUS
BALENO ZETA CVT,BELENO
JIMNY,JIMNY
SPACIA X,SPACIA
SPACIA G,SPACIA
SPACIA HYBRID,SPACIA
DAA-MK22S,SPACIA
TA-MF21S,WAGON R
CELERIO ZXI AMT (O),CELERIO 
DBA-HA35S,ALTO
DAA-MH55S,WAGON R
E-AB34S,CULTUS
STINGRAY VXI AGS (O),MARUTI
BALENO,BELENO
SPACIA CUSTOM XS,SPACIA
WAGON R FZ,WAGON R FZ
DAA-ZC53S,SWIFT
